id,gid,x,y,v_x,v_y,radius,time
37,1,8.517204,3.629024,-0.228888,-1.195262,0.200000,0.200000
38,1,9.121197,4.620665,-0.103947,-0.134957,0.200000,0.200000
39,1,6.793404,8.856510,-0.037406,-0.114049,0.200000,0.200000
0,0,9.911537,0.294078,-1.220085,-0.043472,0.200000,0.300000
1,0,12.249227,0.583604,-1.227477,-0.060112,0.200000,0.300000
2,0,7.208697,-0.142854,-0.784660,0.011095,0.200000,0.300000
3,0,6.592796,-0.824252,-1.247817,0.063838,0.200000,0.300000
4,0,8.579137,0.699262,-1.046640,0.051533,0.200000,0.300000
5,0,5.182973,0.326271,-0.145274,-1.086992,0.200000,0.300000
6,0,13.556925,-1.038247,-0.691918,0.066534,0.200000,0.300000
7,0,10.680321,-0.169047,-0.976430,0.026175,0.200000,0.300000
8,0,13.089964,-0.539527,-0.864155,0.011545,0.200000,0.300000
9,0,7.935968,-0.161192,-0.740617,0.151063,0.200000,0.300000
10,0,6.738368,0.236072,-0.661955,0.004606,0.200000,0.300000
11,0,14.607330,-0.690495,-0.951776,0.130864,0.200000,0.300000
12,0,13.240847,0.566468,-1.070760,-0.063115,0.200000,0.300000
13,0,8.433215,0.186088,-0.171996,0.272964,0.200000,0.300000
14,0,6.558841,-0.411945,-0.963068,0.008015,0.200000,0.300000
15,0,13.410559,1.016940,-0.943589,-0.092632,0.200000,0.300000
16,0,6.129033,0.066062,-1.225949,0.100885,0.200000,0.300000
17,0,6.467061,0.876183,-1.116413,0.062864,0.200000,0.300000
18,0,9.189247,-0.419698,-1.138877,0.156271,0.200000,0.300000
19,0,7.205086,-0.879430,-0.667039,-0.058625,0.200000,0.300000
20,1,7.240828,7.542147,-0.186721,-0.850461,0.200000,0.300000
21,1,8.269839,-4.541880,-0.371733,-1.239071,0.200000,0.300000
22,1,7.121684,2.052511,-0.036420,-1.225033,0.200000,0.300000
23,1,9.048924,-3.263070,-0.155389,-0.977660,0.200000,0.300000
24,1,5.341572,5.135392,0.062702,-1.298110,0.200000,0.300000
25,1,8.366096,-2.297894,-0.197217,-1.260195,0.200000,0.300000
26,1,6.819671,6.347322,0.001046,-0.875824,0.200000,0.300000
27,1,5.170638,1.038543,0.154080,-1.198434,0.200000,0.300000
28,1,4.806939,2.869223,0.127967,-0.990464,0.200000,0.300000
29,1,4.777097,0.501962,-0.295197,-0.776136,0.200000,0.300000
30,1,7.618539,3.101363,0.183444,-1.279835,0.200000,0.300000
31,1,7.251642,-4.579164,-0.137092,-1.101472,0.200000,0.300000
32,1,5.700349,2.007443,0.217019,-0.957160,0.200000,0.300000
33,1,7.977993,5.089324,0.067864,-1.125265,0.200000,0.300000
34,1,4.933188,6.448012,0.121183,-1.130139,0.200000,0.300000
35,1,9.153746,3.458168,-0.077377,-1.151758,0.200000,0.300000
36,1,6.212620,3.936896,0.088466,-1.295907,0.200000,0.300000
37,1,8.514151,3.492288,-0.030531,-1.367356,0.200000,0.300000
38,1,9.106851,4.529584,-0.143460,-0.910812,0.200000,0.300000
39,1,6.787217,8.769306,-0.061865,-0.872046,0.200000,0.300000
0,0,9.801364,0.274226,-1.101725,-0.198515,0.200000,0.400000
1,0,12.138768,0.566149,-1.104592,-0.174555,0.200000,0.400000
2,0,7.123101,-0.156251,-0.855963,-0.133976,0.200000,0.400000
3,0,6.467066,-0.822510,-1.257299,0.017422,0.200000,0.400000
4,0,8.447418,0.679487,-1.317186,-0.197752,0.200000,0.400000
5,0,5.159142,0.225303,-0.238316,-1.009678,0.200000,0.400000
6,0,13.447135,-1.038597,-1.097906,-0.003499,0.200000,0.400000
7,0,10.561070,-0.169325,-1.192515,-0.002785,0.200000,0.400000
8,0,12.977619,-0.537874,-1.123451,0.016528,0.200000,0.400000
9,0,7.846926,-0.147588,-0.890428,0.136045,0.200000,0.400000
10,0,6.643529,0.234735,-0.948395,-0.013371,0.200000,0.400000
11,0,14.485412,-0.674115,-1.219177,0.163794,0.200000,0.400000
12,0,13.113621,0.556690,-1.272257,-0.097781,0.200000,0.400000
13,0,8.363854,0.201365,-0.693614,0.152770,0.200000,0.400000
14,0,6.438261,-0.398315,-1.205805,0.136303,0.200000,0.400000
15,0,13.279524,1.027238,-1.310347,0.102982,0.200000,0.400000
16,0,6.004096,0.075218,-1.249376,0.091555,0.200000,0.400000
17,0,6.353455,0.869049,-1.136063,-0.071335,0.200000,0.400000
18,0,9.063389,-0.425998,-1.258573,-0.063000,0.200000,0.400000
19,0,7.095172,-0.877354,-1.099143,0.020755,0.200000,0.400000
20,1,7.216233,7.435841,-0.245949,-1.063056,0.200000,0.400000
21,1,8.239527,-4.670244,-0.303124,-1.283640,0.200000,0.400000
22,1,7.125633,1.935560,0.039486,-1.169512,0.200000,0.400000
23,1,9.026745,-3.371623,-0.221793,-1.085532,0.200000,0.400000
24,1,5.355896,5.012812,0.143240,-1.225797,0.200000,0.400000
25,1,8.348402,-2.430901,-0.176941,-1.330064,0.200000,0.400000
26,1,6.822409,6.247425,0.027378,-0.998968,0.200000,0.400000
27,1,5.192765,0.918645,0.221276,-1.198981,0.200000,0.400000
28,1,4.827834,2.759733,0.208954,-1.094897,0.200000,0.400000
29,1,4.765440,0.407518,-0.116568,-0.944436,0.200000,0.400000
30,1,7.624152,2.979629,0.056123,-1.217343,0.200000,0.400000
31,1,7.235970,-4.680666,-0.156720,-1.015019,0.200000,0.400000
32,1,5.716495,1.913988,0.161462,-0.934545,0.200000,0.400000
33,1,7.978109,4.970285,0.001158,-1.190391,0.200000,0.400000
34,1,4.947586,6.321194,0.143977,-1.268181,0.200000,0.400000
35,1,9.125508,3.350942,-0.282376,-1.072265,0.200000,0.400000
36,1,6.222053,3.820301,0.094330,-1.165951,0.200000,0.400000
37,1,8.492821,3.372361,-0.213294,-1.199270,0.200000,0.400000
38,1,9.103067,4.438229,-0.037841,-0.913554,0.200000,0.400000
39,1,6.795016,8.671063,0.077989,-0.982431,0.200000,0.400000
0,0,9.690750,0.258910,-1.106144,-0.153163,0.200000,0.500000
1,0,12.023567,0.549351,-1.152009,-0.167977,0.200000,0.500000
2,0,7.004806,-0.164902,-1.182953,-0.086504,0.200000,0.500000
3,0,6.335553,-0.818440,-1.315133,0.040692,0.200000,0.500000
4,0,8.322883,0.677192,-1.245357,-0.022942,0.200000,0.500000
5,0,5.148780,0.133209,-0.103613,-0.920946,0.200000,0.500000
6,0,13.334647,-1.045674,-1.124877,-0.070773,0.200000,0.500000
7,0,10.453464,-0.173271,-1.076055,-0.039459,0.200000,0.500000
8,0,12.864501,-0.529831,-1.131181,0.080425,0.200000,0.500000
9,0,7.775568,-0.145879,-0.713580,0.017094,0.200000,0.500000
10,0,6.559458,0.229860,-0.840706,-0.048750,0.200000,0.500000
11,0,14.370931,-0.647222,-1.144817,0.268932,0.200000,0.500000
12,0,12.990495,0.551668,-1.231258,-0.050224,0.200000,0.500000
13,0,8.281267,0.201962,-0.825864,0.005969,0.200000,0.500000
14,0,6.301546,-0.387560,-1.367141,0.107551,0.200000,0.500000
15,0,13.154172,1.016948,-1.253518,-0.102903,0.200000,0.500000
16,0,5.867342,0.083753,-1.367535,0.085359,0.200000,0.500000
17,0,6.235511,0.856093,-1.179436,-0.129561,0.200000,0.500000
18,0,8.939601,-0.429302,-1.237885,-0.033038,0.200000,0.500000
19,0,6.976283,-0.863992,-1.188883,0.133624,0.200000,0.500000
20,1,7.189594,7.329989,-0.266387,-1.058523,0.200000,0.500000
21,1,8.214894,-4.808021,-0.246331,-1.377766,0.200000,0.500000
22,1,7.129097,1.821714,0.034642,-1.138456,0.200000,0.500000
23,1,8.995107,-3.496279,-0.316374,-1.246567,0.200000,0.500000
24,1,5.357545,4.888695,0.016489,-1.241171,0.200000,0.500000
25,1,8.324780,-2.566096,-0.236212,-1.351957,0.200000,0.500000
26,1,6.823408,6.131570,0.009988,-1.158556,0.200000,0.500000
27,1,5.217748,0.789842,0.249824,-1.288028,0.200000,0.500000
28,1,4.852293,2.643202,0.244589,-1.165312,0.200000,0.500000
29,1,4.765000,0.332974,-0.004402,-0.745446,0.200000,0.500000
30,1,7.635243,2.858364,0.110917,-1.212641,0.200000,0.500000
31,1,7.218997,-4.794510,-0.169731,-1.138442,0.200000,0.500000
32,1,5.730316,1.804474,0.138209,-1.095139,0.200000,0.500000
33,1,7.984102,4.849392,0.059930,-1.208924,0.200000,0.500000
34,1,4.952888,6.196297,0.053019,-1.248970,0.200000,0.500000
35,1,9.100126,3.245738,-0.253819,-1.052041,0.200000,0.500000
36,1,6.214684,3.699600,-0.073692,-1.207005,0.200000,0.500000
37,1,8.487744,3.235323,-0.050776,-1.370377,0.200000,0.500000
38,1,9.092940,4.329445,-0.101266,-1.087837,0.200000,0.500000
39,1,6.792522,8.563829,-0.024946,-1.072334,0.200000,0.500000
0,0,9.580337,0.228200,-1.104133,-0.307097,0.200000,0.600000
1,0,11.905545,0.548908,-1.180223,-0.004432,0.200000,0.600000
2,0,6.902118,-0.172711,-1.026881,-0.078098,0.200000,0.600000
3,0,6.204034,-0.814447,-1.315186,0.039930,0.200000,0.600000
4,0,8.188988,0.672220,-1.338947,-0.049722,0.200000,0.600000
5,0,5.102798,0.009405,-0.459822,-1.238042,0.200000,0.600000
6,0,13.211175,-1.060560,-1.234715,-0.148859,0.200000,0.600000
7,0,10.346245,-0.178566,-1.072196,-0.052953,0.200000,0.600000
8,0,12.746565,-0.544188,-1.179355,-0.143566,0.200000,0.600000
9,0,7.683488,-0.138186,-0.920795,0.076923,0.200000,0.600000
10,0,6.460501,0.227085,-0.989572,-0.027749,0.200000,0.600000
11,0,14.255683,-0.621136,-1.152480,0.260866,0.200000,0.600000
12,0,12.885904,0.545993,-1.045910,-0.056746,0.200000,0.600000
13,0,8.181577,0.209327,-0.996904,0.073655,0.200000,0.600000
14,0,6.167105,-0.377867,-1.344415,0.096921,0.200000,0.600000
15,0,13.026072,1.023168,-1.280999,0.062201,0.200000,0.600000
16,0,5.737982,0.101673,-1.293599,0.179193,0.200000,0.600000
17,0,6.106861,0.846422,-1.286504,-0.096707,0.200000,0.600000
18,0,8.800952,-0.435779,-1.386493,-0.064768,0.200000,0.600000
19,0,6.841304,-0.852477,-1.349798,0.115153,0.200000,0.600000
20,1,7.155511,7.213241,-0.340830,-1.167479,0.200000,0.600000
21,1,8.179248,-4.936730,-0.356461,-1.287086,0.200000,0.600000
