id,gid,x,y,v_x,v_y,radius,time
0,0,-8.912695,-1.001383,0.873046,-0.013830,0.750000,0.100000
1,0,-8.970279,0.997889,0.297208,-0.021109,0.750000,0.100000
2,1,-0.130000,0.000000,-1.300000,0.000000,0.750000,0.100000
0,0,-8.790119,-1.000636,1.225762,0.007474,0.750000,0.200000
1,0,-8.910227,0.996420,0.600523,-0.014691,0.750000,0.200000
2,1,-0.260000,0.000000,-1.300000,0.000000,0.750000,0.200000
0,0,-8.672125,-0.982532,1.179937,0.181034,0.750000,0.300000
1,0,-8.826377,0.995601,0.838501,-0.008191,0.750000,0.300000
2,1,-0.390000,0.000000,-1.300000,0.000000,0.750000,0.300000
0,0,-8.545170,-0.975779,1.269558,0.067529,0.750000,0.400000
1,0,-8.723713,1.008683,1.026641,0.130823,0.750000,0.400000
2,1,-0.520000,0.000000,-1.300000,0.000000,0.750000,0.400000
0,0,-8.409280,-0.968598,1.358893,0.071814,0.750000,0.500000
1,0,-8.601716,1.016131,1.219965,0.074477,0.750000,0.500000
2,1,-0.650000,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.278885,-0.953782,1.303955,0.148156,0.750000,0.600000
1,0,-8.475696,1.025779,1.260197,0.096482,0.750000,0.600000
2,1,-0.780000,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.142734,-0.953053,1.361505,0.007293,0.750000,0.700000
1,0,-8.352035,1.041095,1.236612,0.153158,0.750000,0.700000
2,1,-0.910000,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-8.014769,-0.950453,1.279656,0.026001,0.750000,0.800000
1,0,-8.233554,1.039668,1.184812,-0.014270,0.750000,0.800000
2,1,-1.040000,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-7.895414,-0.956657,1.193544,-0.062046,0.750000,0.900000
1,0,-8.102461,1.048356,1.310927,0.086879,0.750000,0.900000
2,1,-1.170000,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.773826,-0.960044,1.215880,-0.033866,0.750000,1.000000
1,0,-7.976609,1.067495,1.258522,0.191388,0.750000,1.000000
2,1,-1.300000,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.651797,-0.954686,1.220294,0.053582,0.750000,1.100000
1,0,-7.853842,1.083264,1.227673,0.157692,0.750000,1.100000
2,1,-1.430000,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.530561,-0.946640,1.212361,0.080457,0.750000,1.200000
1,0,-7.716045,1.091416,1.377965,0.081526,0.750000,1.200000
2,1,-1.560000,0.000000,-1.300000,0.000000,0.750000,1.200000
0,0,-7.398170,-0.946952,1.323911,-0.003124,0.750000,1.300000
1,0,-7.575248,1.099128,1.407977,0.077115,0.750000,1.300000
